State,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,MAR,MAY,NOV,OCT,SEP,Year
Punjab,403.8,21.3,82.4,0.0,17.1,10.4,166.7,10.2,10.7,4.4,6.1,2.7,71.8,2009
Rajasthan,372.40000000000003,0.38,102.70999999999998,0.5199999999999999,0.81,0.5199999999999999,171.89,32.61,2.38,2.8600000000000003,7.63,10.319999999999999,39.77,2009
Sikkim,2275.1,149.2,545.0,2.3,2.1,1.7,468.0,346.3,39.0,285.6,2.0,260.8,173.1,2009
Tamil Nadu,934.4,35.4,96.1,105.7,0.0,7.5,58.5,33.7,30.4,64.4,314.1,62.2,126.4,2009
Telangana,665.8,6.2,165.4,1.1,0.0,2.2,112.2,65.5,5.3,26.9,31.9,94.3,154.8,2009
Tripura,1446.5,79.4,318.2,0.0,5.1,0.1,293.7,186.2,25.5,201.6,13.4,130.8,192.5,2009
Uttar Pradesh,647.62,3.8800000000000003,199.51999999999998,3.96,2.54,1.3800000000000001,155.16,26.779999999999998,2.06,28.48,10.04,79.3,134.51999999999998,2009
Uttarakhand,1076.0,21.6,313.5,2.2,23.1,3.5,320.4,68.3,2.3,30.3,7.7,87.2,195.9,2009
West Bengal,1798.8,75.6,437.3,1.2,1.55,2.05,373.35,207.95,29.8,257.4,7.6,171.60000000000002,233.39999999999998,2009
Andaman and Nicobar Islands,3147.2,12.7,550.0,254.4,5.8,98.2,522.1,435.0,0.4,310.7,281.4,415.2,261.3,2010
Andhra Pradesh,1266.0,19.6,200.60000000000002,78.2,1.3,12.05,213.75,116.5,1.7999999999999998,128.55,202.0,144.4,147.25,2010
Arunachal Pradesh,2397.7,245.8,343.3,6.0,10.0,0.4,426.0,397.3,143.6,273.8,59.7,84.4,407.4,2010
Assam,2498.7,397.4,346.2,7.0,3.4,0.2,374.3,485.8,105.1,349.4,10.3,103.4,316.2,2010
Bihar,941.9,3.4,228.7,0.4,1.9,0.2,277.2,114.7,0.2,84.7,1.9,53.4,175.2,2010
Chandigarh,598.1,0.2,183.5,10.0,10.5,4.8,176.4,19.9,0.6,2.4,2.5,1.6,185.7,2010
Chhattisgarh,1147.8,4.7,303.8,23.7,2.8,5.3,397.3,89.6,1.9,5.7,13.4,55.6,244.0,2010
Dadra and Nagar Haveli,1059.8,0.0,386.4,0.3,0.0,0.1,342.8,61.1,0.0,0.0,39.9,8.3,220.9,2010
Daman and Diu,1073.9,0.0,340.8,0.0,0.0,0.2,408.0,72.6,0.0,0.1,62.2,5.5,184.5,2010
Delhi,598.1,0.2,183.5,10.0,10.5,4.8,176.4,19.9,0.6,2.4,2.5,1.6,185.7,2010
Goa,3749.4,2.8,838.1,1.5,0.0,1.1,1405.5,671.8,0.4,8.7,109.2,188.3,522.0,2010
Gujarat,1066.85,0.0,363.6,0.15,0.0,0.15000000000000002,375.4,66.85,0.0,0.05,51.05,6.9,202.7,2010
Haryana,598.1,0.2,183.5,10.0,10.5,4.8,176.4,19.9,0.6,2.4,2.5,1.6,185.7,2010
Himachal Pradesh,1227.9,47.2,284.3,57.4,85.6,18.2,269.8,125.8,31.8,79.4,9.1,24.1,195.2,2010
Jammu and Kashmir,1257.6,86.3,256.5,52.2,154.1,33.6,231.5,91.9,41.0,167.6,12.3,36.8,93.8,2010
Jharkhand,803.7,12.9,182.9,34.5,2.1,0.8,181.4,108.3,2.7,38.6,4.5,59.5,175.5,2010
Karnataka,2057.8333333333335,53.333333333333336,371.59999999999997,5.933333333333333,1.1666666666666667,9.933333333333332,564.3333333333334,333.03333333333336,3.0666666666666664,91.73333333333335,169.5,188.66666666666666,265.53333333333336,2010
Kerala,3142.0,140.3,358.3,47.9,1.0,18.4,630.0,669.1,31.9,189.8,339.0,442.5,273.8,2010
Lakshadweep,1725.4,35.7,333.4,81.5,0.0,18.8,338.4,320.2,1.2,79.1,201.4,152.8,162.9,2010
Madhya Pradesh,906.94,0.18,287.14,1.7200000000000002,6.92,1.92,323.1,59.48,0.8799999999999999,2.0599999999999996,25.56,14.879999999999999,183.1,2010
Maharashtra,1133.6333333333334,1.8666666666666665,304.8666666666666,1.7,7.6000000000000005,10.166666666666666,346.8666666666666,149.20000000000002,7.8999999999999995,2.6999999999999997,51.96666666666666,63.76666666666667,185.03333333333333,2010
